genre,production,year
Hentai,0,1981
Mecha,12,1981
Military,3,1981
Sci-Fi,25,1981
Action,18,1981
Drama,24,1981
Space,9,1981
Demons,1,1981
Seinen,4,1981
Super Power,0,1981
Dementia,1,1981
Adventure,30,1981
Historical,14,1981
Kids,18,1981
Horror,2,1981
Shoujo,4,1981
Music,6,1981
School,3,1981
Comedy,28,1981
Supernatural,2,1981
Ecchi,2,1981
Samurai,1,1981
Fantasy,13,1981
Shounen,15,1981
Romance,5,1981
Slice of Life,15,1981
Mystery,2,1981
Parody,1,1981
Magic,0,1981
Yuri,0,1981
Martial Arts,2,1981
Harem,0,1981
Thriller,0,1981
Sports,5,1981
Shoujo Ai,0,1981
Vampire,0,1981
Psychological,0,1981
Police,0,1981
Shounen Ai,1,1981
Game,0,1981
Josei,0,1981
Yaoi,0,1981
Cars,0,1981
Hentai,0,1982
Mecha,21,1982
Military,6,1982
Sci-Fi,31,1982
Action,26,1982
Drama,21,1982
Space,15,1982
Demons,0,1982
Seinen,2,1982
Super Power,0,1982
Dementia,2,1982
Adventure,29,1982
Historical,14,1982
Kids,12,1982
Horror,2,1982
Shoujo,5,1982
Music,5,1982
School,3,1982
Comedy,24,1982
Supernatural,1,1982
Ecchi,0,1982
Samurai,0,1982
Fantasy,10,1982
Shounen,14,1982
Romance,7,1982
Slice of Life,12,1982
Mystery,0,1982
Parody,2,1982
Magic,2,1982
Yuri,0,1982
Martial Arts,3,1982
Harem,0,1982
Thriller,0,1982
Sports,5,1982
Shoujo Ai,0,1982
Vampire,2,1982
Psychological,0,1982
Police,1,1982
Shounen Ai,1,1982
Game,1,1982
Josei,0,1982
Yaoi,0,1982
Cars,0,1982
Hentai,0,1983
Mecha,20,1983
Military,5,1983
Sci-Fi,27,1983
Action,26,1983
Drama,13,1983
Space,7,1983
Demons,0,1983
Seinen,2,1983
Super Power,4,1983
Dementia,2,1983
Adventure,30,1983
Historical,7,1983
Kids,25,1983
Horror,0,1983
Shoujo,4,1983
Music,6,1983
School,7,1983
Comedy,24,1983
Supernatural,1,1983
Ecchi,0,1983
Samurai,0,1983
Fantasy,15,1983
Shounen,17,1983
Romance,11,1983
Slice of Life,4,1983
Mystery,3,1983
Parody,1,1983
Magic,2,1983
Yuri,0,1983
Martial Arts,1,1983
Harem,0,1983
Thriller,0,1983
Sports,11,1983
