genre,producer,y,production
Music,NHK,,5
Kids,NHK,,5
Kids,Mushi Production,,1
Sci-Fi,Bandai Visual,,1
Comedy,Bandai Visual,,1
Mecha,Studio A-CAT,,1
Sci-Fi,Polygon Pictures,,1
Adventure,Studio GDW,,1
Mystery,Sanrio,,1
Hentai,Clarion,,1
Space,Nippon Columbia,,1
Slice of Life,comico,,1
Drama,Gakken,,1
Sci-Fi,KlockWorx,,1
Mecha,Polygon Pictures,,1
Action,KlockWorx,,1
Action,Polygon Pictures,,1
Sci-Fi,Geno Studio,,1
Comedy,Fuji TV,,1
Adventure,DAX Production,,1
Action,Aniplex,,1
Shoujo,Nippon Television Network Corporation,,1
Historical,Mushi Production,,1
Fantasy,Fuji TV,,1
Action,Digital Frontier,,1
Comedy,Level-5,,1
Mecha,KlockWorx,,1
Super Power,Digital Frontier,,1
Mecha,Studio GDW,,1
Fantasy,Level-5,,1
Magic,Nippon Television Network Corporation,,1
Kids,Nippon Television Network Corporation,,1
Psychological,Geno Studio,,1
Sci-Fi,Nippon Columbia,,1
Comedy,Studio A-CAT,,1
Drama,Polygon Pictures,,1
Sci-Fi,Aniplex,,1
Kids,DAX Production,,1
Space,Bandai Visual,,1
Kids,Youmex,,1
Psychological,Polygon Pictures,,1
Action,Studio GDW,,1
Slice of Life,Nippon Television Network Corporation,,1
Comedy,TBS,,1
Adventure,Level-5,,1
Music,Youmex,,1
Ecchi,Genco,,1
Magic,Fuji TV,,1
Kids,Level-5,,1
Kids,Sanrio,,1
Sci-Fi,Nitroplus,,1
Romance,Aniplex,,1
Seinen,Digital Frontier,,1
Slice of Life,TBS,,1
Comedy,comico,,1
Drama,Aniplex,,1
Fantasy,Genco,,1
Sports,Nihon Ad Systems,,1
Thriller,Nitroplus,,1
Comedy,Aniplex,,1
Music,Akabanten,,1
Kids,Akabanten,,1
Romance,NHK,,1
Seinen,Polygon Pictures,,1
Samurai,Mushi Production,,1
Fantasy,Aniplex,2017,3
Action,Aniplex,2017,3
Supernatural,Aniplex,2017,3
Romance,Fuji TV,2017,2
School,Fuji TV,2017,2
Comedy,Aniplex,2017,2
Mystery,Aniplex,2017,1
Supernatural,5pb.,2017,1
Shounen,TOHO animation,2017,1
Supernatural,Square Enix,2017,1
Vampire,Aniplex,2017,1
Harem,5pb.,2017,1
Mystery,Glovision,2017,1
Sci-Fi,5pb.,2017,1
Supernatural,Kodansha,2017,1
School,Aniplex,2017,1
Action,Square Enix,2017,1
Shounen,Aniplex,2017,1
Ecchi,Aniplex,2017,1
Fantasy,Square Enix,2017,1
Seinen,M2,2017,1
Comedy,Square Enix,2017,1
Action,Marvelous Entertainment,2017,1
Shounen,Square Enix,2017,1
Drama,TOHO animation,2017,1
Mecha,Warner Bros.,2017,1
Adventure,TMS Entertainment,2017,1
Demons,Aniplex,2017,1
Comedy,TMS Entertainment,2017,1
Historical,Aniplex,2017,1
Vampire,Kodansha,2017,1
Ecchi,Fuji TV,2017,1
Fantasy,Tohokushinsha Film Corporation,2017,1
Sci-Fi,Glovision,2017,1
Supernatural,Glovision,2017,1
Action,TMS Entertainment,2017,1
Harem,Fuji TV,2017,1
Demons,Square Enix,2017,1
Mystery,Kodansha,2017,1
Harem,Glovision,2017,1
Psychological,Glovision,2017,1
Romance,Aniplex,2017,1
Drama,Fuji TV,2017,1
Action,Kodansha,2017,1
Drama,Warner Bros.,2017,1
Magic,Aniplex,2017,1
Comedy,TOHO animation,2017,1
Mystery,5pb.,2017,1
Seinen,Fuji TV,2017,1
Fantasy,Marvelous Entertainment,2017,1
Sports,TOHO animation,2017,1
Drama,TMS Entertainment,2017,1
Magic,Marvelous Entertainment,2017,1
Psychological,5pb.,2017,1
Historical,Square Enix,2017,1
Harem,Aniplex,2017,1
Historical,M2,2017,1
Comedy,Fuji TV,2017,1
Comedy,DAX Production,2016,16
Action,Aniplex,2016,14
Action,Lantis,2016,13
Comedy,Lantis,2016,12
Supernatural,Aniplex,2016,11
School,DAX Production,2016,8
School,Lantis,2016,8
Slice of Life,Lantis,2016,8
Fantasy,Aniplex,2016,7
Comedy,AT-X,2016,7
Supernatural,Lantis,2016,7
School,Aniplex,2016,7
Slice of Life,DAX Production,2016,7
Fantasy,Lantis,2016,7
Action,TOHO animation,2016,7
Action,TV Tokyo,2016,6
Comedy,Magic Capsule,2016,6
Comedy,TBS,2016,6
Comedy,Tokyo MX,2016,6
Romance,Aniplex,2016,6
Comedy,Pony Canyon,2016,6
Adventure,TV Tokyo,2016,6
Supernatural,Kodansha,2016,6
Action,Mainichi Broadcasting System,2016,6
Fantasy,Pony Canyon,2016,6
Comedy,flying DOG,2016,6
Music,Lantis,2016,5
School,TOHO animation,2016,5
Supernatural,TOHO animation,2016,5
Fantasy,NBCUniversal Entertainment Japan,2016,5
Shounen,TV Tokyo,2016,5
Seinen,DAX Production,2016,5
Mystery,Aniplex,2016,5
Adventure,NBCUniversal Entertainment Japan,2016,5
Hentai,Pink Pineapple,2016,5
Action,Sotsu,2016,5
Action,AT-X,2016,5
Sci-Fi,Sotsu,2016,5
Drama,Kadokawa Shoten,2016,5
Mecha,Sotsu,2016,5
Action,Warner Bros.,2016,5
Comedy,Aniplex,2016,5
Action,Dentsu,2016,5
Action,KlockWorx,2016,5
Drama,Ultra Super Pictures,2016,5
Action,Ultra Super Pictures,2016,5
Mystery,Kodansha,2016,5
School,Pony Canyon,2016,5
Comedy,NHK,2016,5
School,Tokyo MX,2016,5
Slice of Life,Aniplex,2016,5
Fantasy,TV Tokyo,2016,5
Magic,Pony Canyon,2016,4
Sci-Fi,TV Tokyo,2016,4
Seinen,TOHO animation,2016,4
Comedy,TOHO animation,2016,4
Supernatural,Magic Capsule,2016,4
Comedy,Earth Star Entertainment,2016,4
Action,Magic Capsule,2016,4
Comedy,Tencent Animation,2016,4
Hentai,Mary Jane,2016,4
School,AT-X,2016,4
Horror,TOHO animation,2016,4
School,Magic Capsule,2016,4
School,King Records,2016,4
School,Half H.P Studio,2016,4
Shounen,Tokyo MX,2016,4
School,Sotsu,2016,4
